名前,順位1日目,割合1日目,,名前,順位2日目,割合2日目,,名前,順位最終,最終票数
魔法剣士カシス ,90,0.14%,,吸血鬼狩人フーリ,90,0.13%,,,,
森の守り手ローリエ ,91,0.14%,,白兎の道化師リェプル,91,0.13%,,,,
大地の妖精ドロシー ,92,0.14%,,弓騎兵カティナ,92,0.13%,,,,
闇司祭プシュケ ,93,0.13%,,主天使セフィーレ,93,0.12%,,,,
帝国遊撃兵エリック ,94,0.12%,,帝国拳士リーザ,94,0.11%,,,,
主天使セフィーレ ,95,0.12%,,魔女フィグネリア,95,0.11%,,,,
凍氷の守り手エリザ ,96,0.11%,,見習い天馬騎士ステラ,96,0.10%,,,,
副団長エルヴァ ,97,0.11%,,戦乙女エミリア,97,0.10%,,,,
魔法剣士アネモネ ,98,0.11%,,地の軍師ウズメ,98,0.10%,,,,
見習い天馬騎士ステラ ,99,0.11%,,大地の妖精ドロシー,99,0.10%,,,,
帝国天馬騎士イザベル ,100,0.11%,,雷の宝具使いリーエン,100,0.10%,,,,
